===== Beacon Round @ 0s =====
GW 1 [x=0, y=500, z=15] → ED 69 | Distance: 754.079 m | RSSI: -110.69 dBm | Packet Size: 16 bytes | Noise: 3.25438 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 71 | Distance: 686.456 m | RSSI: -115.417 dBm | Packet Size: 16 bytes | Noise: -0.440007 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 72 | Distance: 917.068 m | RSSI: -107.844 dBm | Packet Size: 16 bytes | Noise: -4.31714 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 74 | Distance: 598.122 m | RSSI: -100.538 dBm | Packet Size: 16 bytes | Noise: -1.41781 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 75 | Distance: 595.658 m | RSSI: -101.111 dBm | Packet Size: 16 bytes | Noise: -3.28809 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 76 | Distance: 1405.64 m | RSSI: -107.356 dBm | Packet Size: 16 bytes | Noise: 0.130237 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 77 | Distance: 1352.1 m | RSSI: -109.743 dBm | Packet Size: 16 bytes | Noise: 1.73923 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 80 | Distance: 1124.45 m | RSSI: -108.241 dBm | Packet Size: 16 bytes | Noise: 1.58364 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 81 | Distance: 863.967 m | RSSI: -112.857 dBm | Packet Size: 16 bytes | Noise: 0.185548 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 84 | Distance: 535.132 m | RSSI: -99.9274 dBm | Packet Size: 16 bytes | Noise: -2.73174 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 85 | Distance: 618.555 m | RSSI: -98.7742 dBm | Packet Size: 16 bytes | Noise: 0.243749 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 86 | Distance: 694.447 m | RSSI: -101.248 dBm | Packet Size: 16 bytes | Noise: -1.76739 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 88 | Distance: 318.025 m | RSSI: -86.5268 dBm | Packet Size: 16 bytes | Noise: 0.332713 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 91 | Distance: 691.819 m | RSSI: -98.847 dBm | Packet Size: 16 bytes | Noise: -0.87085 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 92 | Distance: 1353.45 m | RSSI: -110.084 dBm | Packet Size: 16 bytes | Noise: 1.00302 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 93 | Distance: 985.122 m | RSSI: -106.031 dBm | Packet Size: 16 bytes | Noise: 1.93885 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 96 | Distance: 1159.1 m | RSSI: -108.626 dBm | Packet Size: 16 bytes | Noise: -2.22204 dBm | Tx power: 14 dBm
GW 1 [x=0, y=500, z=15] → ED 99 | Distance: 1319.54 m | RSSI: -111.875 dBm | Packet Size: 16 bytes | Noise: -0.488558 dBm | Tx power: 14 dBm
→ GW 1 Beacon PDR: 52/100 (52%)

GW 2 [x=500, y=1000, z=15] → ED 0 | Distance: 586.635 m | RSSI: -100.818 dBm | Packet Size: 16 bytes | Noise: 0.186709 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 1 | Distance: 1562.35 m | RSSI: -108.16 dBm | Packet Size: 16 bytes | Noise: 3.61898 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 2 | Distance: 516.001 m | RSSI: -99.2197 dBm | Packet Size: 16 bytes | Noise: 0.542548 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 4 | Distance: 1125.59 m | RSSI: -108.361 dBm | Packet Size: 16 bytes | Noise: 0.569996 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 7 | Distance: 1873.54 m | RSSI: -118.974 dBm | Packet Size: 16 bytes | Noise: -2.01433 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 8 | Distance: 464.252 m | RSSI: -88.998 dBm | Packet Size: 16 bytes | Noise: 0.827926 dBm | Tx power: 14 dBm
GW 2 [x=500, y=1000, z=15] → ED 10 | Distance: 1959.26 m | RSSI: -115.286 dBm | Packet Size: 16 bytes | Noise: 3.26239 dBm | Tx power: 14 dBm
